Ticker,EPS_accel,EPS_YoY_Q0,EPS_YoY_Q1,Rev_accel,Rev_YoY_Q0,Rev_YoY_Q1,asof,periods
8508,Y,33.7,-33.9,Y,-3.0,-5.0,2026-02-13,8
8697,Y,18.1,7.8,Y,14.8,9.2,2026-01-29,8
8750,Y,-73.4,-77.1,Y,6.1,-1.4,2026-02-13,8
9007,Y,-17.6,-27.6,Y,-1.5,-5.4,2026-02-13,8
9075,Y,59.0,-40.1,Y,4.7,4.6,2026-02-10,8
9119,Y,-10.6,-22.4,Y,-12.7,-17.4,2026-02-05,8
9268,Y,-129.0,-146.7,Y,9.3,3.0,2026-02-13,8
9270,Y,462.0,139.5,Y,30.3,4.1,2026-01-09,8
9271,Y,75.1,45.3,Y,32.9,27.5,2026-02-13,9
9336,Y,-6.2,-8.0,Y,6.1,4.8,2026-02-10,8
9341,Y,-95.2,-101.7,Y,4.2,-3.3,2026-02-13,8
9369,Y,-0.5,-14.8,Y,3.8,3.8,2026-01-08,8
9444,Y,200.9,112.8,Y,1.5,-1.1,2025-12-15,11
9684,Y,-65.5,-71.5,Y,-13.3,-15.0,2026-02-05,8
9880,Y,49.1,28.3,Y,9.4,3.8,2026-02-09,8
9913,Y,12.8,1.5,Y,1.6,0.3,2026-02-04,8
9987,Y,10.4,-12.7,Y,2.6,1.8,2026-02-12,8
9997,Y,45.1,30.2,Y,3.6,0.9,2026-01-30,8
142A,Y,3868.4,227.6,N,8.5,11.3,2026-02-13,8
1926,Y,46.5,43.5,N,16.2,18.4,2026-02-26,8
1952,Y,82.9,7.0,N,18.2,18.4,2026-02-16,8
1979,Y,-30.8,-33.0,N,9.5,13.8,2026-02-10,8
2179,Y,5.4,-2.3,N,7.3,8.1,2026-02-06,8
2270,Y,89.4,30.3,N,-0.8,-0.8,2026-02-13,8
2332,Y,0.2,-5.9,N,20.3,21.4,2026-02-13,8
2874,Y,799.6,-49.8,N,-1.3,2.7,2026-02-13,8
2962,Y,74.6,74.0,N,10.8,16.9,2026-02-13,8
3182,Y,26.2,-60.0,N,0.5,4.9,2026-02-12,8
3201,Y,1.7,-17.2,N,3.4,8.0,2026-01-15,8
3284,Y,-172.8,-1478.4,N,11.9,35.3,2026-02-13,8
3465,Y,83.0,75.0,N,18.9,20.0,2026-02-12,8
3551,Y,65.7,44.4,N,0.8,1.6,2026-02-10,8
3741,Y,-43.9,-45.0,N,13.7,18.3,2026-02-09,8
3856,Y,664.2,294.2,N,28.6,67.4,2026-01-13,10
3864,Y,-185.2,-450.3,N,-11.2,-10.6,2026-02-13,8
3928,Y,-7.9,-38.5,N,-15.5,-15.1,2026-02-13,8
3997,Y,103.3,102.8,N,10.0,11.7,2026-02-12,8
4040,Y,202.9,-3.5,N,1.0,4.4,2026-02-12,8
4061,Y,114.7,15.7,N,-3.6,-1.2,2026-02-06,8
4063,Y,-6.3,-7.6,N,0.2,1.4,2026-01-27,8
4366,Y,-65.2,-68.0,N,2.4,2.9,2026-01-28,8
4392,Y,155.3,112.6,N,10.8,12.8,2026-02-13,8
4443,Y,510.2,179.7,N,26.5,28.2,2026-01-14,8
4499,Y,-254.4,-470.0,N,0.1,4.5,2026-02-13,8
4506,Y,407.5,406.8,N,18.6,25.7,2026-03-02,8
4521,Y,-92.7,-93.1,N,-24.2,-23.4,2026-02-06,8
4588,Y,-3.7,-8.5,N,-9.7,-9.7,2026-02-06,8
4849,Y,-62.2,-65.8,N,-9.7,-8.9,2026-02-12,8
4968,Y,-41.3,-55.7,N,1.9,2.6,2026-02-05,8
5027,Y,-60.9,-62.1,N,13.0,14.5,2026-02-13,8
5034,Y,-38.9,-117.2,N,24.9,26.8,2026-02-12,8
5074,Y,120.7,-96.3,N,50.1,53.0,2026-02-13,8
5258,Y,25.9,-6.4,N,7.8,10.6,2026-02-13,8
5702,Y,26.3,-37.3,N,9.1,9.7,2026-02-10,8
5706,Y,-6.0,-48.6,N,3.1,4.6,2026-02-13,8
5985,Y,5360.8,416.1,N,-16.0,-9.9,2026-02-13,8
5998,Y,283.7,141.8,N,3.4,5.1,2026-02-13,8
6072,Y,8080.0,-367.9,N,72.5,72.6,2026-02-12,8
6203,Y,-35.4,-80.6,N,1.5,9.9,2026-02-12,8
6250,Y,-8.6,-12.7,N,5.6,6.4,2026-02-12,8
6307,Y,580.0,256.5,N,14.5,20.6,2026-02-06,8
6324,Y,318.0,137.4,N,4.5,4.8,2026-02-10,8
6339,Y,44.1,-77.3,N,21.1,26.1,2026-03-05,8
6343,Y,46.6,23.6,N,1.3,3.5,2026-02-16,8
6356,Y,-5.3,-11.2,N,-1.1,-0.7,2026-01-29,8
6508,Y,62.5,-3.2,N,6.7,9.2,2026-02-27,8
6518,Y,1669.6,357.3,N,14.3,17.6,2026-02-10,8
6525,Y,-12.4,-13.4,N,-0.9,2.3,2026-02-12,8
6666,Y,-34.5,-321.1,N,3.6,4.3,2026-02-13,8
6753,Y,1980.3,98.1,N,-14.5,-13.3,2026-02-10,8
